Expected, Response 
red,green green orange yellow blue red 
red, 
red,red blue red 
red,red 
red,blue red 
red,red 
red,red 
red,red blue 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,blue red pink blue 
red,blue red blue 
green,pink pink purple blue green purple pink blue orange orange blue green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,black blue green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
blue,blue 
blue,blue 
blue,blue blue 
blue,blue blue blue 
blue,blue 
blue,blue blue blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue blue 
blue,yellow 
blue,blue blue 
blue,blue blue blue 
white,pink 
white,white 
white,white brown white 
white,white white 
white,white 
white,white 
white,blue white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
black,black 
black,blue pink 
black,black 
black,blue blue pink 
black,blue blue red 
black,blue pink 
black,blue red pink blue 
black,red 
black,black 
black,purple black 
black,blue pink 
black,black 
black,black 
black,blue pink 
black,black 
black,blue black 
black,blue black blue 
black,blue black blue blue 
black,black 
black,black 
orange,blue orange blue 
orange,orange 
orange,orange 
orange,orange 
orange,blue orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange blue 
orange,blue blue orange 
orange,orange blue blue 
orange,orange 
orange,orange 
orange,orange 
orange,blue blue orange 
orange,blue orange 
orange,blue orange 
orange,orange 
yellow,yellow 
yellow,yellow blue 
yellow,yellow blue 
yellow,yellow blue 
yellow,blue yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,blue yellow 
yellow,yellow 
yellow,yellow 
yellow,blue 
yellow,yellow 
yellow,yellow 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,blue pink 
pink,pink 
pink,pink blue 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink brown 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,blue 
purple,purple purple 
purple,purple 
purple,purple 
purple,purple 
purple,blue purple blue blue 
purple,purple 
purple, 
purple,purple purple 
purple,purple 
purple,purple 
purple,purple purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 

