Expected, Response 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
red,red 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
green,green 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,blue 
blue,yellow 
blue,blue 
blue,blue 
blue,blue 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
white,white 
black,black 
black,red 
black,red 
black,red 
black,blue red 
black,red 
black,blue yellow 
black,blue red 
black,red 
black,blue red 
black,black 
black,black 
black,red 
black,black 
black,blue red 
black,black 
black,black 
black,blue red 
black,black 
black,black 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
orange,orange 
yellow,pink yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
yellow,yellow 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
brown,brown 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink blue blue 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
pink,pink 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 
purple,purple 

