Expected, Response 
rot,grün braun rot 
rot,grün blau rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot rot 
rot,rot rot 
rot,rot 
rot,rot 
rot,rot 
rot,rot 
rot,grün braun rot 
grün,blau grün 
grün,grün 
grün,blau grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,braun grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
grün,grün 
blau,blau 
blau,blau 
blau,blau 
blau,grün blau 
blau,blau 
blau,blau 
blau,weiß blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
blau,blau 
weiß,weiß weiß 
weiß,blau weiß grün 
weiß,grün weiß 
weiß, 
weiß,weiß weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,grün weiß 
weiß,weiß 
weiß,braun blau weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
weiß,weiß 
schwarz, 
schwarz,schwarz grün schwarz 
schwarz,grün blau 
schwarz,blau schwarz 
schwarz,weiß schwarz 
schwarz,grün 
schwarz,schwarz weiß grün schwarz 
schwarz,grün schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz weiß 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz grün 
schwarz,schwarz grün 
schwarz,schwarz 
schwarz,grün grün schwarz 
schwarz,schwarz 
schwarz,schwarz 
schwarz,schwarz 
orange,blau orange 
orange,braun rot 
orange,braun gelb 
orange,rot 
orange,orange 
orange,braun braun gelb 
orange,braun gelb 
orange,grün orange 
orange,orange grün 
orange,orange 
orange,orange 
orange,grün gelb 
orange,grün rot gelb 
orange,rot gelb 
orange,rot grün 
orange,rot gelb 
orange,orange 
orange,rot rot 
orange,orange 
orange,blau orange grün 
gelb,grün 
gelb,braun gelb rot gelb 
gelb,gelb 
gelb, 
gelb,gelb braun braun gelb 
gelb,braun gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
gelb,gelb 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun gelb 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
braun,braun 
rosa,schwarz rosa 
rosa,blau weiß rosa 
rosa,rosa 
rosa,braun grün rosa blau grün 
rosa,grün violett 
rosa,grün grün rosa 
rosa,rosa 
rosa,orange 
rosa,rosa 
rosa,rot rosa 
rosa,rosa 
rosa,rosa 
rosa,blau rosa 
rosa,orange rosa 
rosa,rosa 
rosa,braun rosa 
rosa,rosa 
rosa,rosa 
rosa,braun rot 
rosa,braun rosa 
violett, 
violett,violett violett 
violett,violett blau 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,grün violett grün 
violett,violett 
violett,violett 
violett,violett 
violett,violett grün 
violett,violett 
violett,grün braun violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,violett 
violett,grün violett 

