Expected, Response 
rot, 
rot,o l o o 
rot,o l 
rot,o o b 
rot,o b o b 
rot,o m o s 
rot,o o j 
rot,o s 
rot,b o f 
rot,o b 
rot,o b 
rot,o b 
rot,b o 
rot,o b 
rot,o 
rot,o s 
rot,j 
rot,j 
rot,o 
rot,o b 
grün,o l 
grün,o m 
grün,l 
grün,o l 
grün,m l 
grün,o l 
grün,o l 
grün,o m 
grün,m l 
grün,l 
grün,o m 
grün,l 
grün,h m 
grün,o m 
grün,o l 
grün,l 
grün,o m 
grün,o m 
grün,h i 
grün,o m 
blau,r 
blau,r 
blau,l r 
blau,l h 
blau,r 
blau,r 
blau,r 
blau,r o 
blau,b h o 
blau,r 
blau,r 
blau,r 
blau,b r 
blau,r 
blau,r o 
blau,r 
blau,b r o 
blau,b h o 
blau,r o 
blau,r 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s h 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,h s 
weiß,b h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,r s 
schwarz,i h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,h s 
schwarz,r s 
schwarz,h s 
orange,o h 
orange,o h 
orange,o h 
orange,o h 
orange,o h 
orange,j 
orange,j 
orange,o s 
orange,o h 
orange,o h 
orange,o h 
orange,o h 
orange,o h 
orange,o h 
orange,o h 
orange,o s 
orange,o h 
orange,o h s 
orange,o h s 
orange,o h 
gelb,l 
gelb,l 
gelb,l 
gelb,l 
gelb,l 
gelb,l 
gelb,l 
gelb,l 
gelb,l 
gelb,b l 
gelb,l 
gelb,m l 
gelb,l 
gelb,l 
gelb,l 
gelb,l 
gelb,l 
gelb,b m 
gelb,l 
gelb,l 
braun,o h 
braun,h o 
braun,h 
braun,h 
braun,h 
braun,h 
braun,h o 
braun,i h o 
braun,h m 
braun,h o 
braun,i h m 
braun,h o 
braun,h o 
braun,h o 
braun,h m 
braun,i h 
braun,h 
braun,h o m 
braun,h 
braun,h o 
rosa,f o s r 
rosa,o h 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o s r 
rosa,o r 
rosa,o s r 
rosa,o r 
rosa,o s r 
rosa,o s h 
rosa,o s r 
rosa,o s r 
violett,i b o l 
violett,b o l 
violett,b o l 
violett,b o l 
violett,b o l 
violett,b o f 
violett,b o l 
violett,b o l l 
violett,b o l 
violett,b o l 
violett,b o l l 
violett,b o l 
violett,i j l 
violett,b o l 
violett,b o f 
violett,b o l 
violett,b o f 
violett,b o l f 
violett,b o r 
violett,b o f 

