Expected, Response 
0,-1 
0,9 2 2 
0,0 
0,2 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,2 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
1,1 
1,2 1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 1 
1,1 
1,1 
1,1 
1,1 
1,1 2 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
2,2 8 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,0 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
3,3 
3,3 
3,3 4 
3,3 
3,3 
3,2 8 
3,3 
3,3 
3,3 
3,3 
3,3 8 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 8 
3,3 
3,3 9 
3,3 
4,4 
4,2 4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
5,5 
5,2 5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,2 5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
6,6 
6,6 
6,6 
6,2 6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 

