Expected, Response 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,0 
0,2 
0,0 
0,0 
0,0 
0,0 
0,0 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,5 1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,7 2 
2,2 
2,2 
2,2 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
5,5 
5,-1 
5,5 
5,-1 
5,5 
5,5 
5,-1 
5,5 
5,-1 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
6,6 
6,-1 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,6 
7,-1 
7,7 
7,7 
7,7 
8,8 
8,6 8 
8,8 
8,8 
8,8 
8,-1 
8,5 8 
8,-1 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 

