Expected, Response 
0,0 
0,9 
0,0 
0,0 3 
0,0 
0,0 
0,9 
0,2 9 
0,2 3 
0,9 
0,9 
0,9 
0,9 
0,9 
0,9 
0,2 
0,9 
0,9 
0,9 
0,9 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
1,1 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
2,2 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
3,3 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
4,4 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
5,5 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,6 
6,0 6 
6,6 
6,6 
6,6 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,0 7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,7 
7,4 9 
7,7 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,8 
8,5 
8,2 8 
8,8 
8,8 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 
9,9 

