Expected, Response 
b,s b 
b,o m b 
b,b b 
b,b 
b,b 
b,b 
b,b i o 
b,i b i 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b i 
b,b 
b,b 
b,b 
f, 
f,m s 
f,f i b 
f,s 
f,s i b 
f,i f b 
f,f 
f,i 
f,i 
f,f 
f,s 
f,o s o r 
f,f 
f,f 
f,f 
f,s 
f,f 
f,f 
f,s 
f,f 
h,o h 
h,h i i b h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,b h o 
h,h f 
h,h 
h,h 
h,b h i m 
h,h 
h,h o 
h,o h f b 
h,b b h 
h,b h 
h,h o 
h,h o 
i,b 
i,f r i 
i,i 
i,i 
i,i 
i,b i 
i,f i 
i,f r i 
i,r i 
i,i 
i,i 
i,i 
i,r i 
i,b i 
i,r i 
i,i 
i,i 
i,i 
i,i 
i,i 
j,j 
j,j 
j,j 
j,j 
j,j 
j,i j 
j,j 
j,j 
j,m j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j o 
j,j 
j,m j 
j,j 
j,j 
j,j 
l,l o 
l,l 
l,b o b 
l,s 
l,j 
l,s 
l,f s 
l,l 
l,s 
l,m 
l,s 
l,j m 
l,j 
l,o s 
l,l 
l,j i 
l,i 
l,f 
l,f o m o 
l,m 
m,b s m 
m,m 
m,m 
m,m 
m,m 
m,i m i 
m,j m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,o m 
m,m 
m,m h 
m,m 
m,m 
o,i o 
o,l o 
o,o 
o,o 
o,o 
o,o 
o,s o 
o,o b 
o,b o i 
o,o 
o,o 
o,m j 
o,o 
o,o 
o,f o 
o,o 
o,o 
o,b f r o 
o,b m j o b 
o,o 
r, 
r,r r 
r,i 
r,r 
r,r 
r,i m 
r,f f r l h 
r,r 
r,m 
r,r l 
r,i 
r,r l 
r,r l 
r,m 
r,r 
r,r 
r,m 
r,i 
r,r 
r,r i 
s,s 
s,s 
s,b j s b b 
s,s 
s,s 
s,s 
s,s 
s,s f 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 

