Expected, Response 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
f,s 
f,s 
f,s 
f,s 
f,m 
f,s 
f,s 
f,f 
f,s 
f,s 
f,f 
f,s 
f,s 
f,f 
f,s 
f,s 
f,s 
f,s 
f,s 
f,s 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
l,s 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
l,m 
m,b m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,m 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 

