Expected, Response 
b,m b 
b,b s 
b,f b i 
b,f b 
b,b f 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
f,m 
f,s 
f,s 
f,s i 
f,s 
f,s 
f,s 
f,s 
f,s 
f,s 
f,s 
f,s 
f,s 
f,s 
f,s 
f,f 
f,s 
f,s 
f,s 
f,s 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,j h 
h,h 
h,s 
h,h 
h,i s 
h,h 
h,h 
i, 
i,i i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j h 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
l,l 
l,l 
l,i o 
l,l 
l,l 
l,l 
l,o 
l,l 
l,o 
l,l 
l,o 
l,l 
l,l 
l,l 
l,o 
l,o 
l,l 
l,l 
l,l 
l,l 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
r,r 
r,r 
r,r 
r,r 
r,o r 
r,r 
r,r 
r,r r 
r,o r o 
r,r 
r,i o 
r,r 
r,r o 
r,r 
r,r 
r,r o 
r,r 
r,o 
r,r o 
r,r 
s,s 
s,j 
s,j 
s,h 
s,j 
s,h 
s,j 
s,j 
s,h 
s,j 
s,h 
s,m 
s,s 
s,s 
s,s 
s,s 
s,s 
s,m 
s,s 
s,j 

