Expected, Response 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
f,s 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,s 
f,s 
f,m f 
f,s 
f,f 
f,f 
f,s 
f,f 
f,s 
f,s 
f,f f 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
i,r 
i,r 
i,r 
i,r 
i,r h 
i,r 
i,r 
i,r 
i,i 
i,r 
i,i 
i,r 
i,r 
i,i 
i,r 
i,r 
i,r 
i,r 
i,r s 
i,r 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,o 
l,l l 
l,l 
l,l 
l,l 
l,l 
m,m 
m,m 
m,m 
m,m m 
m,m 
m,m 
m,m m 
m,m 
m,m m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m m 
m,m m 
m,m 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r o 
r,r 
r,r 
r,r 
r,r 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,f 
s,f 
s,s 
s,s 
s,s 
s,s 
s,f 
s,s 
s,f 
s,f 
s,s 
s,s 
s,f 
s,s 

