Expected, Response 
b,b 
b,b b 
b,m b 
b,b 
b,b 
b,b 
b,m b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b b 
b,b 
b,b 
b,b b 
b,b 
b,b 
b,m b 
b,b 
f,m 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,b f 
f,f o o 
f,f 
f,f 
f,b f 
f,f 
f,f 
f,f 
h,h 
h,m h 
h,h 
h,m h b 
h,m h 
h,h 
h,h 
h,h 
h,r 
h,r 
h,h 
h,h 
h,h 
h,h 
h,r 
h,r 
h,r 
h,h 
h,o f h 
h,r m r 
i,i i 
i,b b i m 
i,b m 
i,b m 
i,b m 
i,i 
i,b 
i,b 
i,m b 
i,b 
i,i o 
i,l r 
i,i o 
i,l 
i,l o 
i,b 
i,b r o 
i,i 
i,l 
i,l m h 
j,j 
j,i j 
j,m i j 
j,b i j m 
j,j o 
j,i j 
j,j 
j,l j 
j,i j 
j,i j 
j,j 
j,j 
j,i r f 
j,o j 
j,i j 
j,j 
j,j 
j,i j 
j,i j 
j,j 
l,b l 
l,l b 
l,l l 
l,b l m 
l,l 
l,l b 
l,l 
l,l b 
l,m l b 
l,m b l 
l,m m l m 
l,m b l m 
l,l m 
l,m l 
l,l 
l,l 
l,l 
l,l 
l,b l 
l,l 
m,m l 
m,m r 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,b m 
m,b m 
m,m m 
m,m 
m,m b 
m,b m 
m,m m 
m,b b m o 
m,m m m o 
m,l o 
m,m 
m,m m 
o,l 
o, 
o,o 
o,o o o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,l 
o,o 
o,o 
o,b l m 
o,b 
o,l 
o,o 
o,b b 
o,o 
o,m o 
o,l 
r,r 
r,m o r 
r,b r m 
r,r l 
r,r m 
r,r r 
r,r 
r,r r 
r,b r 
r,r l 
r,r o 
r,r 
r,r 
r,r i 
r,r m 
r,r 
r,r r 
r,r r 
r,r r 
r,r m 
s,b s 
s,b s 
s,i s 
s,s m 
s,b s m 
s,s m b 
s,s 
s,s 
s,m s s j 
s,s 
s,b j s m 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 

