Expected, Response 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,s b i 
f,f 
f,f 
f,r 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,r 
f,m 
h,b h 
h,h 
h,h 
h,h o 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i j 
i,i 
i,i 
i,i 
i,i 
i,i 
i,b b 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
j,i r 
j,j 
j,r 
j,r r 
j,r 
j,r 
j,i r 
j,r 
j,r i 
j,r r 
j,r 
j,b r 
j,r 
j,r 
j,r 
j,r 
j,r i 
j,r 
j,j 
j,r m 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
o,o 
o,o 
o,o 
o,o b 
o,o 
o,o h 
o,o h 
o,o h 
o,o 
o,o b 
o,o h 
o,o 
o,o h 
o,o l 
o,o 
o,o h 
o,o 
o,o b 
o,o 
o,o 
r,r h 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,m 
r,r 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,f 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 

