Expected, Response 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,i b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
f,f 
f,f 
f,f 
f,f 
f,f i 
f,f 
f,b f 
f,f 
f,b f 
f,f 
f,m f 
f,f 
f,b r 
f,f 
f,f 
f,i f 
f,f 
f,h f 
f,f 
f,f 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h o 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,b h 
h,h 
h,h 
h,h 
i,i 
i,i b 
i,i 
i,i 
i,i 
i,b 
i,b 
i,i 
i,b 
i,b 
i,i 
i,b 
i,b 
i,b 
i,b 
i,b 
i,b 
i,b 
i,b 
i,b 
j,i h 
j,j 
j,j 
j,i r 
j,r s 
j,r 
j,j 
j,b r 
j,r 
j,i r 
j,j 
j,j 
j,i r 
j,j 
j,j 
j,i r 
j,i r s 
j,i h s 
j,j 
j,j 
l,l 
l,o l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,b m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
o,o b 
o,i o 
o,o h 
o,o 
o,o 
o,o 
o,o 
o,i o 
o,o 
o,o 
o,o i 
o,o m 
o,o 
o,o m 
o,o 
o,o 
o,o 
o,o l 
o,o h 
o,o 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,b r 
r,r 
r,r 
r,r 
r,h 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
s,s 
s,h s 
s,h s 
s,s 
s,s 
s,l s 
s,h s 
s,s 
s,h s 
s,b s 
s,s 
s,s 
s,s 
s,h s 
s,s 
s,h s 
s,s 
s,s 
s,s 
s,s 

