Expected, Response 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,o 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,h 
h,o 
h,h 
h,o 
h,h 
h,h 
h,h 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,m 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,b m 
o,m 
o,o 
o,o 
o,l 
o,o 
o,o 
o,l 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,l 
o,o 
o,o 
o,m 
o,o 
o,o 
o,o 
r,l 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 

