Expected, Response 
b,i 
b,f i 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
b,b 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
f,f 
h,j 
h,o 
h,o 
h,o 
h,o 
h,h 
h,h 
h,o 
h,h 
h,o 
h,o 
h,h 
h,h 
h,o 
h,h 
h,h 
h,h 
h,o 
h,h 
h,h o 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
i,i 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,l j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
j,j 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,l 
l,m 
l,l 
l,l 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
m,m 
o,o 
o,m 
o,o 
o,o 
o,l 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
o,o 
r,r 
r,r 
r,l 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r 
r,r r 
r,r 
r,r 
r,r 
r,l 
r,r 
r,r 
r,r 
s,s 
s,s 
s,s 
s,s 
s,s 
s,b s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 
s,s 

