# subjectId=yannic
# testId=2
# testType=N_BACK_VISUAL_STIMULUS_IDENTITY
# total=20
# hits=5
# correct rejections=15
# misses=0
# false positives=0
# CV'=0.2544
# mean=609.40 ms
# sd=155.02 ms
# median=677.00 ms
# Q10=425.00 ms
# Q25=447.50 ms
# Q75=737.50 ms
# Q90=789.00 ms
# max=789 ms
# min=425 ms
# reaction speed=1.640958
# performance score=1.000000
# lapse probability=0.000000
timepoint (ms)	duration (ms)	type
5	1500	TRUE_NEGATIVE
1509	1501	TRUE_NEGATIVE
3011	1501	TRUE_NEGATIVE
4514	677	TRUE_POSITIVE
6017	425	TRUE_POSITIVE
7520	1500	TRUE_NEGATIVE
9023	1501	TRUE_NEGATIVE
10526	1500	TRUE_NEGATIVE
12028	1500	TRUE_NEGATIVE
13530	1501	TRUE_NEGATIVE
15032	470	TRUE_POSITIVE
16535	1500	TRUE_NEGATIVE
18038	1500	TRUE_NEGATIVE
19540	1500	TRUE_NEGATIVE
21042	1500	TRUE_NEGATIVE
22543	1501	TRUE_NEGATIVE
24046	789	TRUE_POSITIVE
25549	686	TRUE_POSITIVE
27052	1500	TRUE_NEGATIVE
28554	1500	TRUE_NEGATIVE
